game_id,source_url
1202404,https://static.hardingsports.com/custompages/msoc/2024/hu-04.htm
1202405,https://static.hardingsports.com/custompages/msoc/2024/hu-05.htm
1202406,https://static.hardingsports.com/custompages/msoc/2024/hu-06.htm
1202407,https://static.hardingsports.com/custompages/msoc/2024/hu-07.htm
1202408,https://static.hardingsports.com/custompages/msoc/2024/hu-08.htm
1202409,https://static.hardingsports.com/custompages/msoc/2024/hu-09.htm
1202410,https://static.hardingsports.com/custompages/msoc/2024/hu-10.htm
1202411,https://static.hardingsports.com/custompages/msoc/2024/hu-11.htm
1202412,https://static.hardingsports.com/custompages/msoc/2024/hu-12.htm
1202413,https://static.hardingsports.com/custompages/msoc/2024/hu-13.htm
1202414,https://static.hardingsports.com/custompages/msoc/2024/hu-14.htm
1202415,https://static.hardingsports.com/custompages/msoc/2024/hu-15.htm
1202416,https://static.hardingsports.com/custompages/msoc/2024/hu-16.htm
1202417,https://static.hardingsports.com/custompages/msoc/2024/hu-17.htm
1202418,https://static.hardingsports.com/custompages/msoc/2024/hu-18.htm
1202501,https://static.hardingsports.com/custompages/msoc/2025/hu-01.htm
1202502,https://static.hardingsports.com/custompages/msoc/2025/hu-02.htm
1202503,https://static.hardingsports.com/custompages/msoc/2025/hu-03.htm
1202504,https://static.hardingsports.com/custompages/msoc/2025/hu-04.htm
1202505,https://static.hardingsports.com/custompages/msoc/2025/hu-05.htm
1202506,https://static.hardingsports.com/custompages/msoc/2025/hu-06.htm
1202507,https://static.hardingsports.com/custompages/msoc/2025/hu-07.htm
1202508,https://static.hardingsports.com/custompages/msoc/2025/hu-08.htm
1202509,https://static.hardingsports.com/custompages/msoc/2025/hu-09.htm
1202510,https://static.hardingsports.com/custompages/msoc/2025/hu-10.htm
1202511,https://static.hardingsports.com/custompages/msoc/2025/hu-11.htm
1202512,https://static.hardingsports.com/custompages/msoc/2025/hu-12.htm
1202513,https://static.hardingsports.com/custompages/msoc/2025/hu-13.htm
1202514,https://static.hardingsports.com/custompages/msoc/2025/hu-14.htm
1202515,https://static.hardingsports.com/custompages/msoc/2025/hu-15.htm
1202516,https://static.hardingsports.com/custompages/msoc/2025/hu-16.htm
1202517,https://static.hardingsports.com/custompages/msoc/2025/hu-17.htm
1202518,https://static.hardingsports.com/custompages/msoc/2025/hu-18.htm
2201901,https://fhsuathletics.com/sports/mens-soccer/stats/2019/rockhurst/boxscore/4291
2201902,https://fhsuathletics.com/sports/mens-soccer/stats/2019/eastern-new-mexico/boxscore/4292
2201903,https://fhsuathletics.com/sports/mens-soccer/stats/2019/maryville-university/boxscore/4293
2201904,https://fhsuathletics.com/sports/mens-soccer/stats/2019/regis-university/boxscore/4294
2201905,https://fhsuathletics.com/sports/mens-soccer/stats/2019/northeastern-state/boxscore/4295
2201906,https://fhsuathletics.com/sports/mens-soccer/stats/2019/rogers-state/boxscore/4296
2201907,https://fhsuathletics.com/sports/mens-soccer/stats/2019/ouachita-baptist/boxscore/4297
2201908,https://fhsuathletics.com/sports/mens-soccer/stats/2019/harding/boxscore/4298
2201909,https://fhsuathletics.com/sports/mens-soccer/stats/2019/newman/boxscore/4299
2201910,https://fhsuathletics.com/sports/mens-soccer/stats/2019/oklahoma-baptist/boxscore/4300
2201911,https://fhsuathletics.com/sports/mens-soccer/stats/2019/southern-nazarene/boxscore/4301
2201912,https://fhsuathletics.com/sports/mens-soccer/stats/2019/rogers-state/boxscore/4302
2201913,https://fhsuathletics.com/sports/mens-soccer/stats/2019/northeastern-state/boxscore/4303
2201914,https://fhsuathletics.com/sports/mens-soccer/stats/2019/harding/boxscore/4304
2201915,https://fhsuathletics.com/sports/mens-soccer/stats/2019/ouachita-baptist/boxscore/4305
2201916,https://fhsuathletics.com/sports/mens-soccer/stats/2019/newman/boxscore/4306
2201917,https://fhsuathletics.com/sports/mens-soccer/stats/2019/southern-nazarene/boxscore/4307
2201918,https://fhsuathletics.com/sports/mens-soccer/stats/2019/oklahoma-baptist/boxscore/4308
2201919,https://fhsuathletics.com/sports/mens-soccer/stats/2019/harding/boxscore/4335
2201920,https://fhsuathletics.com/sports/mens-soccer/stats/2019/rogers-state/boxscore/4674
2201921,https://fhsuathletics.com/sports/mens-soccer/stats/2019/indianapolis/boxscore/4309
2202101,https://fhsuathletics.com/sports/mens-soccer/stats/2021/csu-pueblo/boxscore/10161
2202102,https://fhsuathletics.com/sports/mens-soccer/stats/2021/msu-denver/boxscore/10162
2202103,https://fhsuathletics.com/sports/mens-soccer/stats/2021/maryville/boxscore/10163
2202104,https://fhsuathletics.com/sports/mens-soccer/stats/2021/rockhurst/boxscore/10164
2202105,https://fhsuathletics.com/sports/mens-soccer/stats/2021/texas-am-international/boxscore/10165
2202106,https://fhsuathletics.com/sports/mens-soccer/stats/2021/colorado-mesa/boxscore/10166
2202107,https://fhsuathletics.com/sports/mens-soccer/stats/2021/rogers-state/boxscore/10167
2202108,https://fhsuathletics.com/sports/mens-soccer/stats/2021/ouachita-baptist/boxscore/10168
2202109,https://fhsuathletics.com/sports/mens-soccer/stats/2021/harding/boxscore/10169
2202110,https://fhsuathletics.com/sports/mens-soccer/stats/2021/northeastern-state/boxscore/10170
2202111,https://fhsuathletics.com/sports/mens-soccer/stats/2021/southern-nazarene/boxscore/10171
2202112,https://fhsuathletics.com/sports/mens-soccer/stats/2021/newman/boxscore/10172
2202113,https://fhsuathletics.com/sports/mens-soccer/stats/2021/newman/boxscore/10173
2202114,https://fhsuathletics.com/sports/mens-soccer/stats/2021/rogers-state/boxscore/10174
2202115,https://fhsuathletics.com/sports/mens-soccer/stats/2021/ouachita-baptist/boxscore/10175
2202116,https://fhsuathletics.com/sports/mens-soccer/stats/2021/harding/boxscore/10176
2202117,https://fhsuathletics.com/sports/mens-soccer/stats/2021/northeastern-state/boxscore/10177
